book,sport,event_id,market_id,selection_id,fetched_at,market_name,market_family,scope,segment,is_milestone,milestone_value,line,selection,participant,team_name,home_team,away_team,price_american,implied_prob,fair_prob,market_group_key,outcome_key,projection_mean,projection_prob,model_prob,edge_pct_points,score_status
Caesars,mlb,109724,,,,,team_total_runs,team,full_game,False,,8.0,under,,,NYY,LAA,-1200.0,0.9230769230769231,0.5572755417956657,eid109724:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,109724,,,,,team_total_runs,team,full_game,False,,3.5,over,,,NYY,LAA,-136.0,0.576271186440678,0.27589607334416355,eid109724:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,109724,,,,,team_total_runs,team,full_game,False,,3.5,over,,,NYY,LAA,-148.0,0.5967741935483871,0.5631341600901917,eid109724:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,109724,,,,,team_total_runs,team,full_game,False,,3.5,over,,,NYY,LAA,-138.0,0.5798319327731093,0.55603641247575,eid109724:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,109724,,,,,team_total_runs,team,full_game,False,,2.0,over,,,NYY,LAA,-275.0,0.7333333333333333,0.44272445820433437,eid109724:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,109784,,,,,team_total_runs,team,full_game,False,,8.0,under,,,ATL,MIA,-900.0,0.9,0.5294117647058824,eid109784:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,109784,,,,,team_total_runs,team,full_game,False,,2.0,over,,,ATL,MIA,-400.0,0.8,0.47058823529411764,eid109784:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,109954,,,,,team_total_runs,team,full_game,False,,3.5,under,,,OAK,TEX,112.0,0.4716981132075472,0.232712548309425,eid109954:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,109954,,,,,team_total_runs,team,full_game,False,,3.5,under,,,OAK,TEX,118.0,0.45871559633027525,0.46580422976731867,eid109954:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,109954,,,,,team_total_runs,team,full_game,False,,3.5,under,,,OAK,TEX,112.0,0.4716981132075472,0.48297628156082634,eid109954:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,109954,,,,,team_total_runs,team,full_game,False,,8.0,under,,,OAK,TEX,-2000.0,0.9523809523809523,0.5504587155963302,eid109954:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,109954,,,,,team_total_runs,team,full_game,False,,4.5,over,,,OAK,TEX,-103.0,0.5073891625615764,0.25032074900909385,eid109954:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,109954,,,,,team_total_runs,team,full_game,False,,4.5,over,,,OAK,TEX,-111.0,0.5260663507109005,0.5341957702326814,eid109954:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,109954,,,,,team_total_runs,team,full_game,False,,4.5,over,,,OAK,TEX,-102.0,0.504950495049505,0.5170237184391737,eid109954:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,109954,,,,,team_total_runs,team,full_game,False,,2.0,over,,,OAK,TEX,-350.0,0.7777777777777778,0.4495412844036697,eid109954:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110213,,,,,team_total_runs,team,full_game,False,,8.0,under,,,LAD,NYM,-4000.0,0.975609756097561,0.5494505494505494,eid110213:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110213,,,,,team_total_runs,team,full_game,False,,2.0,over,,,LAD,NYM,-400.0,0.8,0.45054945054945056,eid110213:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,110236,,,,,team_total_runs,team,full_game,False,,3.5,under,,,HOU,COL,-102.0,0.504950495049505,0.4788529859583826,eid110236:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110236,,,,,team_total_runs,team,full_game,False,,8.0,under,,,HOU,COL,-1600.0,0.9411764705882353,0.5405405405405406,eid110236:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,110236,,,,,team_total_runs,team,full_game,False,,3.5,under,,,HOU,COL,-104.0,0.5098039215686274,0.4831081081081081,eid110236:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,110236,,,,,team_total_runs,team,full_game,False,,3.5,under,,,HOU,COL,-101.0,0.5024875621890548,0.24335964162725776,eid110236:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,110236,,,,,team_total_runs,team,full_game,False,,4.5,over,,,HOU,COL,-122.0,0.5495495495495496,0.5211470140416173,eid110236:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110236,,,,,team_total_runs,team,full_game,False,,2.0,over,,,HOU,COL,-400.0,0.8,0.4594594594594595,eid110236:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,110236,,,,,team_total_runs,team,full_game,False,,4.5,over,,,HOU,COL,-120.0,0.5454545454545454,0.5168918918918919,eid110236:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,110236,,,,,team_total_runs,team,full_game,False,,4.5,over,,,HOU,COL,-124.0,0.5535714285714286,0.2681000578110755,eid110236:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110296,,,,,team_total_runs,team,full_game,False,,8.0,under,,,DET,KC,-2000.0,0.9523809523809523,0.579064587973274,eid110296:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,110296,,,,,team_total_runs,team,full_game,False,,2.0,over,,,DET,KC,-225.0,0.6923076923076923,0.4209354120267261,eid110296:bt4:ptNone:pregame,,,,,,market_only
