marketid,selection,selection label,line,american odds,decimal odds,participant,participant type,stat prefix,milestone value,tags selection,event id,subcategory id,market,market type,tags,book,fetched at,event name,start time,home team,away team,board scope,canonical market,canonical selection,participant name,participant venue role,market type norm,player key,market family,scope,market anchor mean,structural mean,calibrator mean,projected mean,sim mean,sim p10,sim median,sim p90,win probability,push probability,fair probability,fair american,edge,ev,projection source,structural source,pyth home probability,home runs mu,away runs mu
325879630,1+,1+,1.0,3200,33.0,Dominic Smith,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984826,17847,Dominic Smith Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,MIA Marlins @ ATL Braves,2026-04-14T23:15:00.0000000Z,ATL Braves,MIA Marlins,player props,Dominic Smith Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.23226,5.0,17.0,37.0,0.99606,0.0,0.99606,-25281,0.9657569696969697,31.869979999999998,market_anchor,,0.5,4.25,4.25
325867600,1+,1+,1.0,3300,34.0,Marcell Ozuna,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984824,17847,Marcell Ozuna Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,WAS Nationals @ PIT Pirates,2026-04-14T22:40:00.0000000Z,PIT Pirates,WAS Nationals,player props,Marcell Ozuna Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.2261,5.0,17.0,37.0,0.9951,0.0,0.9951,-20308,0.9656882352941176,32.8334,market_anchor,,0.5,4.75,4.75
325878203,1+,1+,1.0,3300,34.0,Masyn Winn,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984832,17847,Masyn Winn Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,CLE Guardians @ STL Cardinals,2026-04-14T23:45:00.0000000Z,STL Cardinals,CLE Guardians,player props,Masyn Winn Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.23864,5.0,16.0,37.0,0.9951,0.0,0.9951,-20308,0.9656882352941176,32.8334,market_anchor,,0.5,4.25,4.25
325882796,1+,1+,1.0,3200,33.0,Josh Jung,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984834,17847,Josh Jung Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,TEX Rangers @ Athletics,2026-04-15T01:40:00.0000000Z,Athletics,TEX Rangers,player props,Josh Jung Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.209,5.0,17.0,37.0,0.99578,0.0,0.99578,-23597,0.9654769696969697,31.86074,market_anchor,,0.5,4.5,4.5
325870394,1+,1+,1.0,3300,34.0,Carson Kelly,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984823,17847,Carson Kelly Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,CHI Cubs @ PHI Phillies,2026-04-14T22:40:00.0000000Z,PHI Phillies,CHI Cubs,player props,Carson Kelly Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.17818,5.0,17.0,36.0,0.99488,0.0,0.99488,-19431,0.9654682352941176,32.82592,market_anchor,,0.5,4.75,4.75
325876208,1+,1+,1.0,3200,33.0,Austin Wells,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984825,17847,Austin Wells Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,LA Angels @ NY Yankees,2026-04-14T23:05:00.0000000Z,NY Yankees,LA Angels,player props,Austin Wells Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.20836,5.0,17.0,36.0,0.99564,0.0,0.99564,-22836,0.9653369696969697,31.85612,market_anchor,,0.5,4.25,4.25
325882472,1+,1+,1.0,3200,33.0,Sam Haggerty,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984834,17847,Sam Haggerty Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,TEX Rangers @ Athletics,2026-04-15T01:40:00.0000000Z,Athletics,TEX Rangers,player props,Sam Haggerty Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.1845,5.0,17.0,36.0,0.99552,0.0,0.99552,-22221,0.9652169696969697,31.852159999999998,market_anchor,,0.5,4.5,4.5
325870280,1+,1+,1.0,3200,33.0,Ian Happ,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984823,17847,Ian Happ Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,CHI Cubs @ PHI Phillies,2026-04-14T22:40:00.0000000Z,PHI Phillies,CHI Cubs,player props,Ian Happ Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.22974,5.0,17.0,36.0,0.9955,0.0,0.9955,-22122,0.9651969696969698,31.8515,market_anchor,,0.5,4.75,4.75
325876666,1+,1+,1.0,3200,33.0,Amed Rosario,Player,3B,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984825,17847,Amed Rosario Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,LA Angels @ NY Yankees,2026-04-14T23:05:00.0000000Z,NY Yankees,LA Angels,player props,Amed Rosario Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.1066,5.0,16.0,36.0,0.99548,0.0,0.99548,-22024,0.9651769696969698,31.85084,market_anchor,,0.5,4.25,4.25
325870187,1+,1+,1.0,3200,33.0,Alex Bregman,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984823,17847,Alex Bregman Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,CHI Cubs @ PHI Phillies,2026-04-14T22:40:00.0000000Z,PHI Phillies,CHI Cubs,player props,Alex Bregman Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.3288,5.0,17.0,37.0,0.99546,0.0,0.99546,-21926,0.9651569696969697,31.85018,market_anchor,,0.5,4.75,4.75
325862054,1+,1+,1.0,3200,33.0,Trevor Story,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984829,17847,Trevor Story Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,BOS Red Sox @ MIN Twins,2026-04-14T23:40:00.0000000Z,MIN Twins,BOS Red Sox,player props,Trevor Story Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.20992,5.0,17.0,37.0,0.99544,0.0,0.99544,-21830,0.9651369696969697,31.84952,market_anchor,,0.5,4.0,4.0
