event_id,market_group_key,market_family,scope,segment,participant,team_name,line,milestone_value,book,selection,price_american,fair_prob,model_prob,edge_pct_points
33984819,33984819|player|full_game|hits_milestones|gunnar_henderson|ou_or_side|,hits_milestones,player,full_game,Gunnar Henderson,nan,,,DraftKings,4+,3200.0,0.023135659934056054,,
33984819,33984819|player|full_game|hits_milestones|ildemaro_vargas|ou_or_side|,hits_milestones,player,full_game,Ildemaro Vargas,nan,,,DraftKings,1+,-221.0,0.659457860837704,,
33984819,33984819|player|full_game|hits_milestones|ildemaro_vargas|ou_or_side|,hits_milestones,player,full_game,Ildemaro Vargas,nan,,,DraftKings,2+,256.0,0.2690604165551159,,
33984819,33984819|player|full_game|hits_milestones|ildemaro_vargas|ou_or_side|,hits_milestones,player,full_game,Ildemaro Vargas,nan,,,DraftKings,3+,1240.0,0.07148172260718004,,
33984819,33984819|player|full_game|hits_milestones|james_mccann|ou_or_side|,hits_milestones,player,full_game,James McCann,nan,,,DraftKings,1+,-167.0,0.6878308868472772,,
33984819,33984819|player|full_game|hits_milestones|james_mccann|ou_or_side|,hits_milestones,player,full_game,James McCann,nan,,,DraftKings,2+,338.0,0.25107435374213627,,
33984819,33984819|player|full_game|hits_milestones|james_mccann|ou_or_side|,hits_milestones,player,full_game,James McCann,nan,,,DraftKings,3+,1700.0,0.061094759410586494,,
33984819,33984819|player|full_game|hits_milestones|jeremiah_jackson|ou_or_side|,hits_milestones,player,full_game,Jeremiah Jackson,nan,,,DraftKings,1+,-196.0,0.6805770435574493,,
33984819,33984819|player|full_game|hits_milestones|jeremiah_jackson|ou_or_side|,hits_milestones,player,full_game,Jeremiah Jackson,nan,,,DraftKings,2+,298.0,0.2582437761421969,,
33984819,33984819|player|full_game|hits_milestones|jeremiah_jackson|ou_or_side|,hits_milestones,player,full_game,Jeremiah Jackson,nan,,,DraftKings,3+,1580.0,0.0611791803003538,,
33984819,33984819|player|full_game|hits_milestones|jorge_barrosa|ou_or_side|,hits_milestones,player,full_game,Jorge Barrosa,nan,,,DraftKings,1+,-139.0,0.7123500407656171,,
33984819,33984819|player|full_game|hits_milestones|jorge_barrosa|ou_or_side|,hits_milestones,player,full_game,Jorge Barrosa,nan,,,DraftKings,2+,428.0,0.2319757735761152,,
33984819,33984819|player|full_game|hits_milestones|jorge_barrosa|ou_or_side|,hits_milestones,player,full_game,Jorge Barrosa,nan,,,DraftKings,3+,2100.0,0.05567418565826766,,
33984819,33984819|player|full_game|hits_milestones|jose_fernandez|ou_or_side|,hits_milestones,player,full_game,Jose Fernandez,nan,,,DraftKings,1+,-149.0,0.7000361402240693,,
33984819,33984819|player|full_game|hits_milestones|jose_fernandez|ou_or_side|,hits_milestones,player,full_game,Jose Fernandez,nan,,,DraftKings,2+,380.0,0.2437206360679436,,
33984819,33984819|player|full_game|hits_milestones|jose_fernandez|ou_or_side|,hits_milestones,player,full_game,Jose Fernandez,nan,,,DraftKings,3+,1980.0,0.05624322370798698,,
33984819,33984819|player|full_game|hits_milestones|ketel_marte|ou_or_side|,hits_milestones,player,full_game,Ketel Marte,nan,,,DraftKings,1+,-274.0,0.6018928568652097,,
33984819,33984819|player|full_game|hits_milestones|ketel_marte|ou_or_side|,hits_milestones,player,full_game,Ketel Marte,nan,,,DraftKings,2+,191.0,0.2823236366764346,,
33984819,33984819|player|full_game|hits_milestones|ketel_marte|ou_or_side|,hits_milestones,player,full_game,Ketel Marte,nan,,,DraftKings,3+,790.0,0.09231031266611514,,
33984819,33984819|player|full_game|hits_milestones|ketel_marte|ou_or_side|,hits_milestones,player,full_game,Ketel Marte,nan,,,DraftKings,4+,3400.0,0.023473193792240707,,
33984819,33984819|player|full_game|hits_milestones|leody_taveras|ou_or_side|,hits_milestones,player,full_game,Leody Taveras,nan,,,DraftKings,1+,-216.0,0.6657276158874029,,
33984819,33984819|player|full_game|hits_milestones|leody_taveras|ou_or_side|,hits_milestones,player,full_game,Leody Taveras,nan,,,DraftKings,2+,264.0,0.26756451798486386,,
33984819,33984819|player|full_game|hits_milestones|leody_taveras|ou_or_side|,hits_milestones,player,full_game,Leody Taveras,nan,,,DraftKings,3+,1360.0,0.06670786612773316,,
33984819,33984819|player|full_game|hits_milestones|nolan_arenado|ou_or_side|,hits_milestones,player,full_game,Nolan Arenado,nan,,,DraftKings,1+,-223.0,0.6276451819261278,,
33984819,33984819|player|full_game|hits_milestones|nolan_arenado|ou_or_side|,hits_milestones,player,full_game,Nolan Arenado,nan,,,DraftKings,2+,233.0,0.2730031292666738,,
33984819,33984819|player|full_game|hits_milestones|nolan_arenado|ou_or_side|,hits_milestones,player,full_game,Nolan Arenado,nan,,,DraftKings,3+,1020.0,0.08116968039803783,,
33984819,33984819|player|full_game|hits_milestones|nolan_arenado|ou_or_side|,hits_milestones,player,full_game,Nolan Arenado,nan,,,DraftKings,4+,4900.0,0.018182008409160476,,
33984819,33984819|player|full_game|hits_milestones|pete_alonso|ou_or_side|,hits_milestones,player,full_game,Pete Alonso,nan,,,DraftKings,1+,-307.0,0.602874305591896,,
33984819,33984819|player|full_game|hits_milestones|pete_alonso|ou_or_side|,hits_milestones,player,full_game,Pete Alonso,nan,,,DraftKings,2+,176.0,0.28958344235460237,,
33984819,33984819|player|full_game|hits_milestones|pete_alonso|ou_or_side|,hits_milestones,player,full_game,Pete Alonso,nan,,,DraftKings,3+,830.0,0.08594089256975297,,
33984819,33984819|player|full_game|hits_milestones|pete_alonso|ou_or_side|,hits_milestones,player,full_game,Pete Alonso,nan,,,DraftKings,4+,3600.0,0.02160135948374872,,
