sport,event_id,market,selection,line,price,participant,opponent,team_name,home_team,away_team,book,fetched_at
mlb,33984835,home_runs_milestones,1+,,670.0,Gavin Sheets,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,home_runs_milestones,2+,,8000.0,Gavin Sheets,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,home_runs_milestones,1+,,790.0,Jake Cronenworth,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,home_runs_milestones,2+,,9900.0,Jake Cronenworth,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,home_runs_milestones,1+,,840.0,Cole Young,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,home_runs_milestones,2+,,10000.0,Cole Young,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,home_runs_milestones,1+,,920.0,J.P. Crawford,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,home_runs_milestones,2+,,10000.0,J.P. Crawford,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,home_runs_milestones,1+,,890.0,Luis Campusano,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,home_runs_milestones,2+,,10000.0,Luis Campusano,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,home_runs_milestones,1+,,830.0,Miguel Andujar,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,home_runs_milestones,2+,,10000.0,Miguel Andujar,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,home_runs_milestones,1+,,800.0,Xander Bogaerts,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,home_runs_milestones,2+,,10000.0,Xander Bogaerts,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,over,0.5,-1400.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,under,0.5,800.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,over,1.5,-380.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,under,1.5,280.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,over,2.5,-170.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,under,2.5,135.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,over,4.5,195.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,under,4.5,-255.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,over,5.5,330.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,under,5.5,-450.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,over,6.5,550.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,under,6.5,-900.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,over,7.5,900.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,under,7.5,-1600.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,over,8.5,1400.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,under,8.5,-4000.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,over,9.5,2200.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,under,9.5,-20000.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,over,0.5,-1400.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,under,0.5,800.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,over,1.5,-425.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,under,1.5,310.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,over,2.5,-195.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,under,2.5,150.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,over,4.5,150.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,under,4.5,-190.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,over,5.5,240.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,under,5.5,-320.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,over,6.5,380.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,under,6.5,-525.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,over,7.5,600.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,under,7.5,-900.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,over,8.5,900.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,under,8.5,-1600.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,over,9.5,1400.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,alternate_team_total_runs,under,9.5,-3500.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,team_total_runs,over,3.5,114.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,team_total_runs,under,3.5,-145.0,SD Padres,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,team_total_runs,over,3.5,-115.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,team_total_runs,under,3.5,-115.0,SEA Mariners,,,,,DraftKings,2026-04-14T20:34:24Z
