book,sport,event_id,market_id,selection_id,fetched_at,market_name,market_family,scope,segment,is_milestone,milestone_value,line,selection,participant,team_name,home_team,away_team,price_american,implied_prob,fair_prob,market_group_key,outcome_key,projection_mean,projection_prob,model_prob,edge_pct_points,score_status
FanDuel,nba,35486328,spread,away,2026-04-14T18:46:40Z,spread,spread,team,full_game,False,,-5.5,away,,Houston Rockets,Los Angeles Lakers,Houston Rockets,-108.0,0.5192307692307693,,35486328|team|full_game|spread|houston_rockets|ou_or_side|-5.5,35486328|team|full_game|spread|houston_rockets|ou_or_side|-5.5|away,,,,,unscored_no_projection
FanDuel,nba,35486328,spread,home,2026-04-14T18:46:40Z,spread,spread,team,full_game,False,,5.5,home,,Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,-112.0,0.5283018867924528,,35486328|team|full_game|spread|los_angeles_lakers|ou_or_side|5.5,35486328|team|full_game|spread|los_angeles_lakers|ou_or_side|5.5|home,,,,,unscored_no_projection
FanDuel,nba,35486214,spread,away,2026-04-14T18:46:40Z,spread,spread,team,full_game,False,,5.0,away,,Atlanta Hawks,New York Knicks,Atlanta Hawks,-114.0,0.5327102803738317,,35486214|team|full_game|spread|atlanta_hawks|ou_or_side|5,35486214|team|full_game|spread|atlanta_hawks|ou_or_side|5|away,,,,,unscored_no_projection
FanDuel,nba,35486214,spread,home,2026-04-14T18:46:40Z,spread,spread,team,full_game,False,,-5.0,home,,New York Knicks,New York Knicks,Atlanta Hawks,-106.0,0.5145631067961165,,35486214|team|full_game|spread|new_york_knicks|ou_or_side|-5,35486214|team|full_game|spread|new_york_knicks|ou_or_side|-5|home,,,,,unscored_no_projection
FanDuel,nba,35486329,spread,away,2026-04-14T18:46:40Z,spread,spread,team,full_game,False,,6.0,away,,Minnesota Timberwolves,Denver Nuggets,Minnesota Timberwolves,-110.0,0.5238095238095238,,35486329|team|full_game|spread|minnesota_timberwolves|ou_or_side|6,35486329|team|full_game|spread|minnesota_timberwolves|ou_or_side|6|away,,,,,unscored_no_projection
FanDuel,nba,35486329,spread,home,2026-04-14T18:46:40Z,spread,spread,team,full_game,False,,-6.0,home,,Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,-110.0,0.5238095238095238,,35486329|team|full_game|spread|denver_nuggets|ou_or_side|-6,35486329|team|full_game|spread|denver_nuggets|ou_or_side|-6|home,,,,,unscored_no_projection
FanDuel,nba,35486214,moneyline,away,2026-04-14T18:46:40Z,moneyline,moneyline,team,full_game,False,,0.0,away,,Atlanta Hawks,New York Knicks,Atlanta Hawks,168.0,0.373134328358209,,35486214|team|full_game|moneyline|atlanta_hawks|ou_or_side|0,35486214|team|full_game|moneyline|atlanta_hawks|ou_or_side|0|away,,,,,unscored_no_projection
FanDuel,nba,35486214,moneyline,home,2026-04-14T18:46:40Z,moneyline,moneyline,team,full_game,False,,0.0,home,,New York Knicks,New York Knicks,Atlanta Hawks,-200.0,0.6666666666666666,,35486214|team|full_game|moneyline|new_york_knicks|ou_or_side|0,35486214|team|full_game|moneyline|new_york_knicks|ou_or_side|0|home,,,,,unscored_no_projection
FanDuel,mlb,35487023,spread,away,2026-04-14T18:46:40Z,spread,spread,team,full_game,False,,1.5,away,,Kansas City Royals,Detroit Tigers,Kansas City Royals,-205.0,0.6721311475409836,,35487023|team|full_game|spread|kansas_city_royals|ou_or_side|1.5,35487023|team|full_game|spread|kansas_city_royals|ou_or_side|1.5|away,,,,,unscored_no_projection
FanDuel,mlb,35487023,spread,home,2026-04-14T18:46:40Z,spread,spread,team,full_game,False,,-1.5,home,,Detroit Tigers,Detroit Tigers,Kansas City Royals,168.0,0.373134328358209,,35487023|team|full_game|spread|detroit_tigers|ou_or_side|-1.5,35487023|team|full_game|spread|detroit_tigers|ou_or_side|-1.5|home,,,,,unscored_no_projection
