event_id,scope,segment,market_family,participant,team_name,selection,projection_mean,projection_prob,projection_source,source_market_name,line
33984819,player,full_game,hits,Gunnar Henderson,,over,0.8373,0.2039,model_stack+anchor,Gunnar Henderson Hits O/U,1.5
33984819,player,full_game,hits,Gunnar Henderson,,under,0.8373,0.79218,model_stack+anchor,Gunnar Henderson Hits O/U,1.5
33984819,player,full_game,hits,Ildemaro Vargas,,1+,2.9569,0.93764,model_stack+anchor,Ildemaro Vargas Hits,1.0
33984819,player,full_game,hits,Ildemaro Vargas,,2+,2.9569,0.76986,model_stack+anchor,Ildemaro Vargas Hits,2.0
33984819,player,full_game,hits,Ildemaro Vargas,,3+,2.9569,0.5524,model_stack+anchor,Ildemaro Vargas Hits,3.0
33984819,player,full_game,hits,Ildemaro Vargas,,over,0.8169,0.55564,model_stack+anchor,Ildemaro Vargas Hits O/U,0.5
33984819,player,full_game,hits,Ildemaro Vargas,,under,0.8169,0.44984,model_stack+anchor,Ildemaro Vargas Hits O/U,0.5
33984819,player,full_game,hits,James McCann,,1+,2.9569,0.93538,model_stack+anchor,James McCann Hits,1.0
33984819,player,full_game,hits,James McCann,,2+,2.9569,0.77008,model_stack+anchor,James McCann Hits,2.0
33984819,player,full_game,hits,James McCann,,3+,2.9569,0.55488,model_stack+anchor,James McCann Hits,3.0
33984819,player,full_game,hits,James McCann,,over,0.8047,0.54796,model_stack+anchor,James McCann Hits O/U,0.5
33984819,player,full_game,hits,James McCann,,under,0.8047,0.45602,model_stack+anchor,James McCann Hits O/U,0.5
33984819,player,full_game,hits,Jeremiah Jackson,,1+,2.9569,0.93456,model_stack+anchor,Jeremiah Jackson Hits,1.0
33984819,player,full_game,hits,Jeremiah Jackson,,2+,2.9569,0.77104,model_stack+anchor,Jeremiah Jackson Hits,2.0
33984819,player,full_game,hits,Jeremiah Jackson,,3+,2.9569,0.55312,model_stack+anchor,Jeremiah Jackson Hits,3.0
33984819,player,full_game,hits,Jeremiah Jackson,,over,0.8111,0.55078,model_stack+anchor,Jeremiah Jackson Hits O/U,0.5
33984819,player,full_game,hits,Jeremiah Jackson,,under,0.8111,0.44962,model_stack+anchor,Jeremiah Jackson Hits O/U,0.5
33984819,player,full_game,hits,Jorge Barrosa,,1+,2.9569,0.93414,model_stack+anchor,Jorge Barrosa Hits,1.0
33984819,player,full_game,hits,Jorge Barrosa,,2+,2.9569,0.7762,model_stack+anchor,Jorge Barrosa Hits,2.0
33984819,player,full_game,hits,Jorge Barrosa,,3+,2.9569,0.55018,model_stack+anchor,Jorge Barrosa Hits,3.0
33984819,player,full_game,hits,Jorge Barrosa,,over,0.8032,0.54226,model_stack+anchor,Jorge Barrosa Hits O/U,0.5
33984819,player,full_game,hits,Jorge Barrosa,,under,0.8032,0.4551,model_stack+anchor,Jorge Barrosa Hits O/U,0.5
33984819,player,full_game,hits,Jose Fernandez,,1+,2.9569,0.93406,model_stack+anchor,Jose Fernandez Hits,1.0
33984819,player,full_game,hits,Jose Fernandez,,2+,2.9569,0.77256,model_stack+anchor,Jose Fernandez Hits,2.0
33984819,player,full_game,hits,Jose Fernandez,,3+,2.9569,0.54906,model_stack+anchor,Jose Fernandez Hits,3.0
33984819,player,full_game,hits,Jose Fernandez,,over,0.7992,0.54266,model_stack+anchor,Jose Fernandez Hits O/U,0.5
33984819,player,full_game,hits,Jose Fernandez,,under,0.7992,0.4611,model_stack+anchor,Jose Fernandez Hits O/U,0.5
33984819,player,full_game,hits,Ketel Marte,,1+,2.9569,0.93518,model_stack+anchor,Ketel Marte Hits,1.0
33984819,player,full_game,hits,Ketel Marte,,2+,2.9569,0.7718,model_stack+anchor,Ketel Marte Hits,2.0
33984819,player,full_game,hits,Ketel Marte,,3+,2.9569,0.54996,model_stack+anchor,Ketel Marte Hits,3.0
33984819,player,full_game,hits,Ketel Marte,,4+,2.9569,0.34316,model_stack+anchor,Ketel Marte Hits,4.0
33984819,player,full_game,hits,Ketel Marte,,over,0.829,0.20318,model_stack+anchor,Ketel Marte Hits O/U,1.5
33984819,player,full_game,hits,Ketel Marte,,under,0.829,0.79618,model_stack+anchor,Ketel Marte Hits O/U,1.5
33984819,player,full_game,hits,Leody Taveras,,1+,2.9569,0.93438,model_stack+anchor,Leody Taveras Hits,1.0
33984819,player,full_game,hits,Leody Taveras,,2+,2.9569,0.76942,model_stack+anchor,Leody Taveras Hits,2.0
33984819,player,full_game,hits,Leody Taveras,,3+,2.9569,0.54816,model_stack+anchor,Leody Taveras Hits,3.0
33984819,player,full_game,hits,Leody Taveras,,over,0.8139,0.54924,model_stack+anchor,Leody Taveras Hits O/U,0.5
33984819,player,full_game,hits,Leody Taveras,,under,0.8139,0.4483,model_stack+anchor,Leody Taveras Hits O/U,0.5
33984819,player,full_game,hits,Nolan Arenado,,1+,2.9569,0.93452,model_stack+anchor,Nolan Arenado Hits,1.0
33984819,player,full_game,hits,Nolan Arenado,,2+,2.9569,0.76824,model_stack+anchor,Nolan Arenado Hits,2.0
33984819,player,full_game,hits,Nolan Arenado,,3+,2.9569,0.55026,model_stack+anchor,Nolan Arenado Hits,3.0
33984819,player,full_game,hits,Nolan Arenado,,4+,2.9569,0.34006,model_stack+anchor,Nolan Arenado Hits,4.0
33984819,player,full_game,hits,Nolan Arenado,,over,0.8185,0.55092,model_stack+anchor,Nolan Arenado Hits O/U,0.5
33984819,player,full_game,hits,Nolan Arenado,,under,0.8185,0.45186,model_stack+anchor,Nolan Arenado Hits O/U,0.5
33984819,player,full_game,hits,Pete Alonso,,1+,2.9569,0.93696,model_stack+anchor,Pete Alonso Hits,1.0
33984819,player,full_game,hits,Pete Alonso,,2+,2.9569,0.77164,model_stack+anchor,Pete Alonso Hits,2.0
33984819,player,full_game,hits,Pete Alonso,,3+,2.9569,0.55488,model_stack+anchor,Pete Alonso Hits,3.0
33984819,player,full_game,hits,Pete Alonso,,4+,2.9569,0.3437,model_stack+anchor,Pete Alonso Hits,4.0
33984819,player,full_game,hits,Pete Alonso,,over,0.8322,0.203,model_stack+anchor,Pete Alonso Hits O/U,1.5
33984819,player,full_game,hits,Pete Alonso,,under,0.8322,0.79522,model_stack+anchor,Pete Alonso Hits O/U,1.5
33984819,player,full_game,hits,Samuel Basallo,,1+,2.9569,0.93376,model_stack+anchor,Samuel Basallo Hits,1.0
33984819,player,full_game,hits,Samuel Basallo,,2+,2.9569,0.77016,model_stack+anchor,Samuel Basallo Hits,2.0
33984819,player,full_game,hits,Samuel Basallo,,3+,2.9569,0.55144,model_stack+anchor,Samuel Basallo Hits,3.0
33984819,player,full_game,hits,Samuel Basallo,,4+,2.9569,0.34324,model_stack+anchor,Samuel Basallo Hits,4.0
33984819,player,full_game,hits,Samuel Basallo,,over,0.8221,0.55398,model_stack+anchor,Samuel Basallo Hits O/U,0.5
